,target_end_date,value,model,Start
0,2020-06-06,5902.0,Real,2020-05-30
1,2020-06-13,5094.0,Real,2020-05-30
2,2020-06-20,4191.0,Real,2020-05-30
3,2020-06-27,3867.0,Real,2020-05-30
4,2020-06-06,3681.09910641519,Covid19Sim-Simulator,2020-05-30
5,2020-06-13,3071.708476516289,Covid19Sim-Simulator,2020-05-30
6,2020-06-20,2675.20599494672,Covid19Sim-Simulator,2020-05-30
7,2020-06-27,2419.0233240091698,Covid19Sim-Simulator,2020-05-30
8,2020-06-06,6166.16,GT-DeepCOVID,2020-05-30
9,2020-06-13,5534.91,GT-DeepCOVID,2020-05-30
10,2020-06-20,4945.5,GT-DeepCOVID,2020-05-30
11,2020-06-27,5068.2,GT-DeepCOVID,2020-05-30
12,2020-06-06,8934.81,JHU_IDD-CovidSP,2020-05-30
13,2020-06-13,9347.036666666669,JHU_IDD-CovidSP,2020-05-30
14,2020-06-20,10194.84,JHU_IDD-CovidSP,2020-05-30
15,2020-06-27,11190.416666666664,JHU_IDD-CovidSP,2020-05-30
16,2020-06-06,5901.681957883676,MOBS-GLEAM_COVID,2020-05-30
17,2020-06-13,4971.2061234313205,MOBS-GLEAM_COVID,2020-05-30
18,2020-06-20,4201.917879213644,MOBS-GLEAM_COVID,2020-05-30
19,2020-06-27,3565.568714931672,MOBS-GLEAM_COVID,2020-05-30
20,2020-06-06,6610.0,UMass-MechBayes,2020-05-30
21,2020-06-13,6234.0,UMass-MechBayes,2020-05-30
22,2020-06-20,6132.0,UMass-MechBayes,2020-05-30
23,2020-06-27,5830.0,UMass-MechBayes,2020-05-30
24,2020-06-06,4695.526072412258,USACE-ERDC_SEIR,2020-05-30
25,2020-06-13,4011.96199515509,USACE-ERDC_SEIR,2020-05-30
26,2020-06-20,3470.588384608167,USACE-ERDC_SEIR,2020-05-30
27,2020-06-27,3033.4081399499523,USACE-ERDC_SEIR,2020-05-30
28,2020-06-06,5443.535714285714,UT-Mobility,2020-05-30
29,2020-06-13,5232.178571428572,UT-Mobility,2020-05-30
30,2020-06-20,4517.714285714285,UT-Mobility,2020-05-30
31,2020-06-27,4174.964285714285,UT-Mobility,2020-05-30
32,2020-06-06,6797.998573981,YYG-ParamSearch,2020-05-30
33,2020-06-13,6319.348568389,YYG-ParamSearch,2020-05-30
34,2020-06-20,6175.090973180999,YYG-ParamSearch,2020-05-30
35,2020-06-27,6330.970377123001,YYG-ParamSearch,2020-05-30
36,2020-06-13,5094.0,Real,2020-06-06
37,2020-06-20,4191.0,Real,2020-06-06
38,2020-06-27,3867.0,Real,2020-06-06
39,2020-07-04,3694.0,Real,2020-06-06
40,2020-06-13,3078.80407507024,Covid19Sim-Simulator,2020-06-06
41,2020-06-20,2676.10150563121,Covid19Sim-Simulator,2020-06-06
42,2020-06-27,2421.0311986064607,Covid19Sim-Simulator,2020-06-06
43,2020-07-04,2266.8606181357,Covid19Sim-Simulator,2020-06-06
44,2020-06-13,5061.94,GT-DeepCOVID,2020-06-06
45,2020-06-20,5460.99,GT-DeepCOVID,2020-06-06
46,2020-06-27,5065.28,GT-DeepCOVID,2020-06-06
47,2020-07-04,6352.92,GT-DeepCOVID,2020-06-06
48,2020-06-13,3844.8212647289,IHME-CurveFit,2020-06-06
49,2020-06-20,5007.02923361066,IHME-CurveFit,2020-06-06
50,2020-06-27,4642.622808604439,IHME-CurveFit,2020-06-06
51,2020-07-04,4301.20474662155,IHME-CurveFit,2020-06-06
52,2020-06-13,8147.77,JHU_IDD-CovidSP,2020-06-06
53,2020-06-20,8695.29,JHU_IDD-CovidSP,2020-06-06
54,2020-06-27,9578.71,JHU_IDD-CovidSP,2020-06-06
55,2020-07-04,10609.57,JHU_IDD-CovidSP,2020-06-06
56,2020-06-13,5098.353541007383,MOBS-GLEAM_COVID,2020-06-06
57,2020-06-20,4335.795480149537,MOBS-GLEAM_COVID,2020-06-06
58,2020-06-27,3701.762101721607,MOBS-GLEAM_COVID,2020-06-06
59,2020-07-04,3171.695657227701,MOBS-GLEAM_COVID,2020-06-06
60,2020-06-13,5431.482229,OliverWyman-Navigator,2020-06-06
61,2020-06-20,4332.43719,OliverWyman-Navigator,2020-06-06
62,2020-06-27,3158.257061,OliverWyman-Navigator,2020-06-06
63,2020-07-04,2098.871944,OliverWyman-Navigator,2020-06-06
64,2020-06-13,5560.0,UMass-MechBayes,2020-06-06
65,2020-06-20,5118.0,UMass-MechBayes,2020-06-06
66,2020-06-27,4774.0,UMass-MechBayes,2020-06-06
67,2020-07-04,4424.0,UMass-MechBayes,2020-06-06
68,2020-06-13,4470.555103377827,USACE-ERDC_SEIR,2020-06-06
69,2020-06-20,3898.227515345521,USACE-ERDC_SEIR,2020-06-06
70,2020-06-27,3421.780659951964,USACE-ERDC_SEIR,2020-06-06
71,2020-07-04,3009.3895018187536,USACE-ERDC_SEIR,2020-06-06
72,2020-06-13,4850.642857142857,UT-Mobility,2020-06-06
73,2020-06-20,4437.107142857143,UT-Mobility,2020-06-06
74,2020-06-27,3401.392857142857,UT-Mobility,2020-06-06
75,2020-07-04,2778.3214285714284,UT-Mobility,2020-06-06
76,2020-06-13,5846.811842892,YYG-ParamSearch,2020-06-06
77,2020-06-20,5473.06825114,YYG-ParamSearch,2020-06-06
78,2020-06-27,5446.231285727999,YYG-ParamSearch,2020-06-06
79,2020-07-04,5676.795452005998,YYG-ParamSearch,2020-06-06
80,2020-06-20,4191.0,Real,2020-06-13
81,2020-06-27,3867.0,Real,2020-06-13
82,2020-07-04,3694.0,Real,2020-06-13
83,2020-07-11,5291.0,Real,2020-06-13
84,2020-06-20,4932.17318157016,Covid19Sim-Simulator,2020-06-13
85,2020-06-27,4429.79457361968,Covid19Sim-Simulator,2020-06-13
86,2020-07-04,4029.16253202502,Covid19Sim-Simulator,2020-06-13
87,2020-07-11,3713.9722293148,Covid19Sim-Simulator,2020-06-13
88,2020-06-20,5440.34,GT-DeepCOVID,2020-06-13
89,2020-06-27,5288.53,GT-DeepCOVID,2020-06-13
90,2020-07-04,4929.26,GT-DeepCOVID,2020-06-13
91,2020-07-11,5455.66,GT-DeepCOVID,2020-06-13
92,2020-06-20,4435.61055128392,IHME-CurveFit,2020-06-13
93,2020-06-27,5139.351442112899,IHME-CurveFit,2020-06-13
94,2020-07-04,4962.25587288195,IHME-CurveFit,2020-06-13
95,2020-07-11,4731.35025621825,IHME-CurveFit,2020-06-13
96,2020-06-20,6162.85,JHU_IDD-CovidSP,2020-06-13
97,2020-06-27,6662.74,JHU_IDD-CovidSP,2020-06-13
98,2020-07-04,7566.526666666668,JHU_IDD-CovidSP,2020-06-13
99,2020-07-11,8720.066666666668,JHU_IDD-CovidSP,2020-06-13
100,2020-06-20,5241.607055272035,LANL-GrowthRate,2020-06-13
101,2020-06-27,5286.826232493831,LANL-GrowthRate,2020-06-13
102,2020-07-04,4403.0993711433175,LANL-GrowthRate,2020-06-13
103,2020-07-11,3628.278389107483,LANL-GrowthRate,2020-06-13
104,2020-06-20,4586.646944950463,MOBS-GLEAM_COVID,2020-06-13
105,2020-06-27,4086.893224117335,MOBS-GLEAM_COVID,2020-06-13
106,2020-07-04,3684.774865488817,MOBS-GLEAM_COVID,2020-06-13
107,2020-07-11,3364.775592916437,MOBS-GLEAM_COVID,2020-06-13
108,2020-06-20,4788.534591352911,OliverWyman-Navigator,2020-06-13
109,2020-06-27,4768.131365180696,OliverWyman-Navigator,2020-06-13
110,2020-07-04,4439.132975279124,OliverWyman-Navigator,2020-06-13
111,2020-07-11,4219.876617722105,OliverWyman-Navigator,2020-06-13
112,2020-06-20,5162.0,STH-3PU,2020-06-13
113,2020-06-27,4577.0,STH-3PU,2020-06-13
114,2020-07-04,3977.0,STH-3PU,2020-06-13
115,2020-07-11,3534.0,STH-3PU,2020-06-13
116,2020-06-20,4090.620008888523,UCLA-SuEIR,2020-06-13
117,2020-06-27,3311.06693443477,UCLA-SuEIR,2020-06-13
118,2020-07-04,2529.176330101196,UCLA-SuEIR,2020-06-13
119,2020-07-11,1921.2944489923395,UCLA-SuEIR,2020-06-13
