,year,season,,observedNino3.4
1,2002,2,2002.083333,0.1
2,2002,3,2002.166667,0.23
3,2002,4,2002.25,0.35
4,2002,5,2002.333333,0.54
5,2002,6,2002.416667,0.75
6,2002,7,2002.5,0.98
7,2002,8,2002.583333,0.06
8,2002,9,2002.666667,0.24
9,2002,10,2002.75,0.47
10,2002,11,2002.833333,0.61
11,2002,12,2002.916667,0.54
12,2003,1,2003,0.22
13,2003,2,2003.083333,0.9
14,2003,3,2003.166667,0.53
15,2003,4,2003.25,0.13
16,2003,5,2003.333333,0.1
17,2003,6,2003.416667,0.01
18,2003,7,2003.5,0.17
19,2003,8,2003.583333,0.27
20,2003,9,2003.666667,0.36
21,2003,10,2003.75,0.48
22,2003,11,2003.833333,0.52
23,2003,12,2003.916667,0.39
24,2004,1,2004,0.27
25,2004,2,2004.083333,0.12
26,2004,3,2004.166667,0.09
27,2004,4,2004.25,0.14
28,2004,5,2004.333333,0.24
29,2004,6,2004.416667,0.38
30,2004,7,2004.5,0.57
31,2004,8,2004.583333,0.76
32,2004,9,2004.666667,0.82
33,2004,10,2004.75,0.8
34,2004,11,2004.833333,0.81
35,2004,12,2004.916667,0.75
36,2005,1,2005,0.57
37,2005,2,2005.083333,0.42
38,2005,3,2005.166667,0.34
39,2005,4,2005.25,0.4
40,2005,5,2005.333333,0.45
41,2005,6,2005.416667,0.48
42,2005,7,2005.5,0.37
43,2005,8,2005.583333,0.18
44,2005,9,2005.666667,0.12
45,2005,10,2005.75,0.01
46,2005,11,2005.833333,-0.2
47,2005,12,2005.916667,-0.54
48,2006,1,2006,-0.7
49,2006,2,2006.083333,-0.7
50,2006,3,2006.166667,-0.43
51,2006,4,2006.25,-0.18
52,2006,5,2006.333333,0.15
53,2006,6,2006.416667,0.26
54,2006,7,2006.5,0.38
55,2006,8,2006.583333,0.5
56,2006,9,2006.666667,0.69
57,2006,10,2006.75,0.93
58,2006,11,2006.833333,1.13
59,2006,12,2006.916667,1.08
60,2007,1,2007,0.71
61,2007,2,2007.083333,0.29
62,2007,3,2007.166667,0.08
63,2007,4,2007.25,-0.02
64,2007,5,2007.333333,0
65,2007,6,2007.416667,-0.14
66,2007,7,2007.5,-0.24
67,2007,8,2007.583333,-0.54
68,2007,9,2007.666667,-0.92
69,2007,10,2007.75,-1.23
70,2007,11,2007.833333,-1.44
71,2007,12,2007.916667,-1.59
72,2008,1,2008,-1.74
73,2008,2,2008.083333,-1.6
